benchmark,variant_dir,scale,variant_num,status,cycles,instructions,wallclock_s
libstatemate,variant_18,0.2,0,PASS,2406567,1452972,6.024
libstatemate,variant_19,0.3,0,PASS,2406567,1452972,5.444
libstatemate,variant_20,0.4,0,PASS,2406564,1452969,4.452
libstatemate,variant_21,0.5,0,PASS,2406560,1452965,4.334
libstatemate,variant_22,0.6,0,PASS,2406564,1452969,4.099
libstatemate,variant_23,0.7,0,PASS,2406560,1452965,4.022
libstatemate,variant_24,0.85,0,PASS,2406560,1452965,4.045
libstatemate,variant_25,0.9,0,PASS,2406560,1452965,4.65
libstatemate,variant_26,1,0,PASS,2406560,1452965,5.235
libud,variant_original,original,,PASS,2663048,818442,5.027
libud,variant_gp,gp,,PASS,2663048,818442,5.234
libud,variant_0,0,0,PASS,11335798,7862409,27.88
libud,variant_1,0.0001,0,PASS,3586563,2111498,8.421
libud,variant_2,0.0002,0,PASS,3586563,2111498,8.247
libud,variant_3,0.0005,0,PASS,2669583,826247,4.712
libud,variant_4,0.001,0,PASS,2669583,826247,4.91
libud,variant_5,0.0015,0,PASS,2670503,826887,5.283
libud,variant_6,0.002,0,PASS,2670503,826887,5.157
libud,variant_7,0.003,0,PASS,2670503,826887,5.131
libud,variant_8,0.005,0,PASS,2663499,818771,3.485
libud,variant_9,0.007,0,PASS,2663499,818772,3.435
libud,variant_10,0.01,0,PASS,2663499,818771,5.107
libud,variant_11,0.015,0,PASS,2663499,818771,5.05
libud,variant_12,0.02,0,PASS,2663499,818771,5.155
libud,variant_13,0.03,0,PASS,2663499,818771,3.391
libud,variant_14,0.05,0,PASS,2663499,818771,4.127
libud,variant_15,0.07,0,PASS,2663499,818771,5.205
libud,variant_16,0.1,0,PASS,2663499,818771,3.571
libud,variant_17,0.15,0,PASS,2663499,818772,5.057
libud,variant_18,0.2,0,PASS,2663499,818771,3.449
libud,variant_19,0.3,0,PASS,2663059,818451,4.752
libud,variant_20,0.4,0,PASS,2663059,818451,5.118
libud,variant_21,0.5,0,PASS,2663053,818445,4.619
libud,variant_22,0.6,0,PASS,2663053,818445,4.879
libud,variant_23,0.7,0,PASS,2663048,818442,3.952
libud,variant_24,0.85,0,PASS,2663048,818442,4.52
libud,variant_25,0.9,0,PASS,2663055,818449,4.936
libud,variant_26,1,0,PASS,2663048,818442,4.985
libwikisort,variant_original,original,,PASS,1228877,736553,2.495
libwikisort,variant_gp,gp,,PASS,1228877,736553,2.283
libwikisort,variant_0,0,0,PASS,9598938,7258730,22.222
libwikisort,variant_1,0.0001,0,PASS,6757562,4758308,17.197
libwikisort,variant_2,0.0002,0,PASS,6757562,4758308,16.429
libwikisort,variant_3,0.0005,0,PASS,6757562,4758308,16.164
libwikisort,variant_4,0.001,0,PASS,1564762,988708,3.419
libwikisort,variant_5,0.0015,0,PASS,1510878,986914,3.184
libwikisort,variant_6,0.002,0,PASS,1512174,987562,3.431
libwikisort,variant_7,0.003,0,PASS,1510878,986914,3.646
libwikisort,variant_8,0.005,0,PASS,1486752,962140,2.731
libwikisort,variant_9,0.007,0,PASS,1485456,961492,3.007
libwikisort,variant_10,0.01,0,PASS,1467856,948692,3.504
libwikisort,variant_11,0.015,0,PASS,1417928,898764,2.719
libwikisort,variant_12,0.02,0,PASS,1411500,897648,3.344
libwikisort,variant_13,0.03,0,PASS,1411500,897648,3.21
libwikisort,variant_14,0.05,0,PASS,1411500,897648,3.601
libwikisort,variant_15,0.07,0,PASS,1241100,748848,2.073
libwikisort,variant_16,0.1,0,PASS,1229336,736868,3.143
libwikisort,variant_17,0.15,0,PASS,1229336,736868,3.083
libwikisort,variant_18,0.2,0,PASS,1229336,736868,2.157
libwikisort,variant_19,0.3,0,PASS,1229336,736868,2.907
libwikisort,variant_20,0.4,0,PASS,1229066,736598,2.037
libwikisort,variant_21,0.5,0,PASS,1229066,736598,2.53
libwikisort,variant_22,0.6,0,PASS,1229021,736553,3.145
libwikisort,variant_23,0.7,0,PASS,1229022,736554,2.114
libwikisort,variant_24,0.85,0,PASS,1229021,736553,2.212
libwikisort,variant_25,0.9,0,PASS,1229021,736553,2.258
libwikisort,variant_26,1,0,PASS,1229021,736553,3.099
matmult-int,variant_original,original,,PASS,5467314,3003659,10.095
matmult-int,variant_gp,gp,,PASS,5467314,3003659,12.681
